taxi_id,pickup_time,pickup_lon,pickup_lat,dropoff_time,dropoff_lon,dropoff_lat,计算时长,计算距离,score,cluster
f6bf8d533bd4842f682342cfe50f028f,1488014808,3986395,11637616,1488037923,3986576,11635806,23115,2.014612082393148,22.64136644280876,3.0
f6c9082f8f9cae3db29bdfda9de4756a,1488590803,3988844,11626793,1488594805,4007956,11658233,4002,36.2163184464201,10.03913017246728,2.0
f6d4d0f95cf869f5c75b7f3dd664f670,1488609831,3983240,11612200,1488615647,4010741,11635705,5816,29.42613998683812,10.744388354787803,2.0
f7760c9cabaa8e6df55e687952529046,1488557826,3970168,11666960,1488584494,3970181,11666926,26668,0.038358972320106405,27.24223450052871,3.0
f779be1e53ff044dde77afdd1c6d5258,1488591828,3984064,11628094,1488599208,4007878,11658670,7380,35.9844396398146,11.340955395149312,3.0
f7e12e47e4a72e1be650de0562f11e81,1488593812,3996797,11642709,1488596987,3987573,11627212,3175,17.823061761154797,2.9442481478630667,2.0
f7f44da6eb635774f10b4b787506e762,1488629142,3986816,11636822,1488631667,3989139,11663604,2525,29.80252280331242,7.701840915117357,2.0
f801a2bdd16f36998d67b10ab095d413,1488608529,3990342,11642156,1488614981,3993668,11635305,6452,7.793270170460827,7.836577691914776,2.0
f8090ddbb9389317a7ccf2e799c2f5d3,1488591310,3994785,11645440,1488595905,3990652,11610548,4595,38.85145196888588,9.084437291078984,2.0
f8b0828445e41511a793a16e6923e32d,1488616288,3986409,11637654,1488621887,4014401,11661257,5599,29.692134196061325,10.790400299480622,2.0
f8c3183d839758dbef79e0682115a384,1488611962,3960819,11639917,1488614987,3983316,11628188,3025,17.125820110481722,8.448940476690629,2.0
f8d28c98d19b2d952d1669a325b7d577,1488589095,3990949,11630386,1488591604,3979105,11639163,2509,11.376023447444172,5.9185752486190495,2.0
f8e934171f9addb19ab8eb4a0651b6df,1487966168,3998980,11636309,1488003667,4000659,11634887,37499,1.7852536636842318,36.28651042361022,3.0
f952d390b5709e21ba7e85b070119b7d,1488619655,4007844,11658678,1488625352,3986223,11641887,5697,21.53350622934129,8.955711446664058,2.0
f998b89779545623cd0235ae5f58a35f,1488591241,3996765,11639480,1488596019,4005374,11660902,4778,24.20015346540659,7.389931290499467,2.0
f9abbee2ecd5e894a0ddf68b2e1fdbd8,1488609791,3989447,11638835,1488613514,4005398,11660841,3723,25.71738006176983,8.040491242411115,2.0
fa34e1a1622974ba967fd21e3acccbc0,1488560082,3987690,11648868,1488603815,4000060,11651652,43733,6.874391940208524,35.68887064538325,1.0
fa5bf8d98692254b3795788636491aed,1488609369,3983362,11633404,1488611507,3998118,11635951,2138,7.813244530581041,6.189684502044637,2.0
fa5f8fecde230dbd74188305da8f656c,1488604261,3975761,11620694,1488608922,4005391,11661085,4661,47.242799930016844,13.250377063096778,0.0
fa603f4ea79960332caed229fa937405,1488571176,3994502,11618798,1488635343,3991311,11617663,64167,2.010931479091293,62.3374086529768,1.0
fba1beccaf16bc74188ba21b587b5446,1488602259,3988208,11638826,1488608228,3981665,11649298,5969,12.086569586151516,7.571035927955599,2.0
fc08185657cfe07661e90529161c8bd8,1488614216,3989807,11641204,1488620416,3998480,11647441,6200,8.157236304243362,7.709919765727646,2.0
fcbbdf1b298809d267688dac868f00ea,1488617428,4005420,11660813,1488622337,3984899,11629957,4909,35.784376215501105,10.19502634249278,2.0
fcdbbdeacb1cf7207c6751f12a9e7aff,1488609675,4011469,11638647,1488615333,4003278,11639745,5658,4.228671064448893,7.304768846464837,2.0
fd6e40e333f71956108f6080b81b20b0,1488585368,3991041,11646619,1488587648,4004888,11660740,2280,17.14258816579537,5.059377610505004,2.0
fd72f0a3a6e0731fc02061a85eda20d7,1488605934,3989696,11636803,1488627493,3990717,11646933,21559,11.275366298540693,18.621260762157767,3.0
fd849b866312288d4b63f5b2ce0175c1,1488614613,3992687,11645586,1488620314,4006264,11640693,5701,8.646432741206532,7.490548605825785,2.0
fdd428efcfcb74da938811ed6414af05,1488624658,3988542,11629122,1488632826,3978735,11626056,8168,5.909982787679046,8.986882194889617,2.0
fe2fab3b0fbfdd76bc47244ae180462b,1488621858,3982145,11628620,1488626892,4005362,11660886,5034,37.67545380165568,10.88570323840797,2.0
